Bruce Campbell,22.6.1958 (BC: False),'alive'
William M. Tweed,3.4.1823 (BC: False),12.4.1878 (BC: False)
Brownie McGhee,30.11.1915 (BC: False),16.2.1996 (BC: False)
Barry Goldwater,2.1.1909 (BC: False),29.5.1998 (BC: False)
Bob Wills,6.3.1905 (BC: False),13.5.1975 (BC: False)
Barış Manço,2.1.1943 (BC: False),1.2.1999 (BC: False)
B. F. Skinner,20.3.1904 (BC: False),18.8.1990 (BC: False)
Bill Macy,18.5.1922 (BC: False),17.10.2019 (BC: False)
Bob Knight,25.10.1940 (BC: False),'alive'
Robert Bellarmine,4.10.1542 (BC: False),17.9.1621 (BC: False)
Bert Bell,25.2.1895 (BC: False),11.10.1959 (BC: False)
Bob Costas,22.3.1952 (BC: False),'alive'
Bill Mumy,1.2.1954 (BC: False),'alive'
Benjamin D. Santer,3.6.1955 (BC: False),'alive'
Bill Bixby,22.1.1934 (BC: False),21.11.1993 (BC: False)
Ben Bova,8.11.1932 (BC: False),'alive'
Bjørn Lomborg,6.1.1965 (BC: False),'alive'
Bruno of Querfurt,None.None.974 (BC: False),14.2.1009 (BC: False)
Bo Diddley,30.12.1928 (BC: False),2.6.2008 (BC: False)
Bela Lugosi,20.10.1882 (BC: False),16.8.1956 (BC: False)
Bill Bryson,8.12.1951 (BC: False),'alive'
Charlize Theron,7.8.1975 (BC: False),'alive'
Charlie Chaplin,16.4.1889 (BC: False),25.12.1977 (BC: False)
Carl Linnaeus,23.5.1707 (BC: False),10.1.1778 (BC: False)
Charlemagne,2.4.742 (BC: False),28.1.814 (BC: False)
Chris Morris (satirist),15.6.1962 (BC: False),'alive'
C. Northcote Parkinson,30.7.1909 (BC: False),9.3.1993 (BC: False)
Courtney Love,9.7.1964 (BC: False),'alive'
Colin Dexter,29.9.1930 (BC: False),21.3.2017 (BC: False)
Claude Shannon,30.4.1916 (BC: False),24.2.2001 (BC: False)
Charles Babbage,26.12.1791 (BC: False),18.10.1871 (BC: False)
Chuck D,1.8.1960 (BC: False),'alive'
Catherine Coleman,14.12.1960 (BC: False),'alive'
Clement Attlee,3.1.1883 (BC: False),8.10.1967 (BC: False)
C. S. Forester,27.8.1899 (BC: False),2.4.1966 (BC: False)
Carlo Goldoni,25.2.1707 (BC: False),6.2.1793 (BC: False)
Charles Baudelaire,9.4.1821 (BC: False),31.8.1867 (BC: False)
C. S. Lewis,29.11.1898 (BC: False),22.11.1963 (BC: False)
Confucius,None.None.551 (BC: True),None.None.479 (BC: True)
Craig Charles,11.7.1964 (BC: False),'alive'
Charles Dickens,7.2.1812 (BC: False),9.6.1870 (BC: False)
Charles Tupper,2.7.1821 (BC: False),30.10.1915 (BC: False)
Cicero,3.1.106 (BC: True),7.12.43 (BC: True)
Carl von Clausewitz,1.6.1780 (BC: False),16.11.1831 (BC: False)
Charles Robert Malden,9.8.1797 (BC: False),23.5.1855 (BC: False)
Charles Sanders Peirce,10.9.1839 (BC: False),19.4.1914 (BC: False)
Carl Friedrich Gauss,30.4.1777 (BC: False),23.2.1855 (BC: False)
Christoph Ludwig Agricola,5.11.1667 (BC: False),8.8.1719 (BC: False)
Cecil B. DeMille,12.8.1881 (BC: False),21.1.1959 (BC: False)
Constantin von Tischendorf,18.1.1815 (BC: False),7.12.1874 (BC: False)
Calvin Coolidge,4.7.1872 (BC: False),5.1.1933 (BC: False)
Charles Ancillon,28.7.1659 (BC: False),5.7.1715 (BC: False)
Clark Ashton Smith,13.1.1893 (BC: False),14.8.1961 (BC: False)
Carl Menger,23.2.1840 (BC: False),26.2.1921 (BC: False)
Christian Goldbach,18.3.1690 (BC: False),20.11.1764 (BC: False)
Clement Martyn Doke,16.5.1893 (BC: False),24.2.1980 (BC: False)
Carl Meinhof,23.7.1857 (BC: False),11.2.1944 (BC: False)
Carolyn Beug,11.12.1952 (BC: False),11.9.2001 (BC: False)
Charles Farrar Browne,26.4.1834 (BC: False),6.3.1867 (BC: False)
Charles Proteus Steinmetz,9.4.1865 (BC: False),26.10.1923 (BC: False)
Charles Martel,None.None.688 (BC: False),None.None.741 (BC: False)
Charles Edward Jones,8.11.1952 (BC: False),11.9.2001 (BC: False)
Charlotte Brontë,21.4.1816 (BC: False),31.3.1855 (BC: False)
Charles Williams (British writer),20.9.1886 (BC: False),15.5.1945 (BC: False)
Czesław Miłosz,30.6.1911 (BC: False),14.8.2004 (BC: False)
Claude Monet,14.11.1840 (BC: False),5.12.1926 (BC: False)
Columba,7.12.521 (BC: False),9.6.597 (BC: False)
Charles McCarry,14.6.1930 (BC: False),26.2.2019 (BC: False)
Constantin Brâncuși,19.2.1876 (BC: False),16.3.1957 (BC: False)
Clyde Tombaugh,4.2.1906 (BC: False),17.1.1997 (BC: False)
Chris Marker,29.7.1921 (BC: False),29.7.2012 (BC: False)
Constantius II,7.8.317 (BC: False),3.11.361 (BC: False)
Constans,None.None.323 (BC: False),None.None.350 (BC: False)
Carl Sagan,9.11.1934 (BC: False),20.12.1996 (BC: False)
Cy Young,29.3.1867 (BC: False),4.11.1955 (BC: False)
Caligula,31.8.12 (BC: False),24.1.41 (BC: False)
Chiang Kai-shek,31.10.1887 (BC: False),5.4.1975 (BC: False)
Carlos Valderrama,2.9.1961 (BC: False),'alive'
Cecilia Beaux,1.5.1855 (BC: False),17.9.1942 (BC: False)
Colette,28.1.1873 (BC: False),3.8.1954 (BC: False)
Charles Alston,28.11.1907 (BC: False),27.4.1977 (BC: False)
Colin Kapp,None.None.3 (BC: False),None.None.2007 (BC: False)
Catherine of Aragon,16.12.1485 (BC: False),7.1.1536 (BC: False)
Colin Powell,5.4.1937 (BC: False),'alive'
Christiaan Barnard,8.11.1922 (BC: False),2.9.2001 (BC: False)
Caravaggio,29.9.1571 (BC: False),18.7.1610 (BC: False)
Caitlin Clarke,3.5.1952 (BC: False),9.9.2004 (BC: False)
Christian Doppler,29.11.1803 (BC: False),17.3.1853 (BC: False)
Cotton Mather,12.2.1663 (BC: False),13.2.1728 (BC: False)
Cordwainer Smith,11.7.1913 (BC: False),6.8.1966 (BC: False)
William Kidd,None.None.1655 (BC: False),23.5.1701 (BC: False)
Cary Elwes,26.10.1962 (BC: False),'alive'
Chris Sarandon,24.7.1942 (BC: False),'alive'
Christopher Guest,5.2.1948 (BC: False),'alive'
Carol Kane,18.6.1952 (BC: False),'alive'
Claudius Aelianus,None.None.175 (BC: False),None.None.235 (BC: False)
Charles Messier,26.6.1730 (BC: False),12.4.1817 (BC: False)
Clement of Alexandria,None.None.150 (BC: False),None.None.215 (BC: False)
Carl Barks,27.3.1901 (BC: False),25.8.2000 (BC: False)
Casimir III the Great,30.4.1310 (BC: False),5.11.1370 (BC: False)
Cyril of Alexandria,None.None.376 (BC: False),None.None.444 (BC: False)
Chris Cunningham,15.10.1970 (BC: False),'alive'
Charles I of England,19.11.1600 (BC: False),30.1.1649 (BC: False)
Camille Pissarro,10.7.1830 (BC: False),13.11.1903 (BC: False)
Carlo Collodi,24.11.1826 (BC: False),26.10.1890 (BC: False)
Clive Anderson,10.12.1952 (BC: False),'alive'
Catherine of Siena,25.3.1347 (BC: False),29.4.1380 (BC: False)
Charles Lyell,14.11.1797 (BC: False),22.2.1875 (BC: False)
Cuauhtémoc,None.None.1497 (BC: False),None.None.1525 (BC: False)
Cesare Borgia,13.9.1475 (BC: False),12.3.1507 (BC: False)
Christine Lavin,2.1.1952 (BC: False),'alive'
Cem Karaca,5.4.1945 (BC: False),8.2.2004 (BC: False)
Calista Flockhart,11.11.1964 (BC: False),'alive'
Charles Evans Hughes,11.4.1862 (BC: False),27.8.1948 (BC: False)
Craig Venter,14.10.1946 (BC: False),'alive'
Carl Rogers,8.1.1902 (BC: False),4.2.1987 (BC: False)
Clive Barker,5.10.1952 (BC: False),'alive'
Chaim Topol,9.9.1935 (BC: False),'alive'
Crystal Eastman,25.6.1881 (BC: False),8.7.1928 (BC: False)
Christopher Alexander,4.10.1936 (BC: False),'alive'
Charles F. Hockett,17.1.1916 (BC: False),3.11.2000 (BC: False)
